,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,ingredient,meal
0,Bacon,1 OZ,113,76,8.5g,2.8g,  Sugars ,%,%,Sodium ,1.4g, ,Cholesterol ,,,,,"BACON (bacon cured with water, salt, sugar, sodium phosphates, sodium  erythorbate, sodium nitrite.)",breakfast
1,"Cereal, Cream of Wheat**",6 OZ,1701,0,0g,0g,0g,0mg,1546.4mg,61.9g,371.1g,15.5g,15.5g,31%,773%,0%,0%,"CREAM OF WHEAT CEREAL (wheat farina, calcium carbonate, defatted wheat germ, disodium phosphate, ferric orthophosphate, niacinamide, thiamine mononitrate, riboflavin, folic acid.  contains: wheat)",breakfast
2,"Cereal, Oatmeal**",5 OZL,106,21,2.3g,0.5g,0g,0mg,246.8mg,3.8g,18g,2.5g,0.4g,1%,7%,0%,0%,"WATER, OATMEAL (100% natural rolled oats.), SALT (salt, calcium silicate, dextrose, potassium iodide.)",breakfast
3,Cinnamon Apples**,4 OZ,114,41,4.5g,0.6g,0g,0mg,41.1mg,0g,17.9g,1.8g,15.1g,0%,0%,5%,0%,"APPLES (sliced apples and water.), SUGAR, GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.), CINNAMON",breakfast
4,Fried Egg*,1 EGGS,84,56,6.2g,1.9g,0.4g,157.1mg,82.2mg,5.7g,0.9g,0g,0.8g,4%,4%,7%,0%,"FRESH EGGS, VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",breakfast
5,Make your own Waffle*,1 WAFFLE,318,32,3.5g,0g,0g,0mg,978.4mg,5.9g,62.5g,1.2g,5.9g,35%,24%,0%,0%,"WATER, WAFFLE MIX (enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, sodium bicarbonate, monocalcium phosphate, contains 2% or less of the following: natural and artificial flavors (dextrose, malodextrin, starch, silicon dioxide), salt, yellow corn flour, buttermilk, malted barley extract contains: wheat and milk)",breakfast
6,Multigrain Pancakes*,1 PANCAKE,109,13,1.4g,0.2g,0g,0.7mg,358.1mg,3.1g,21.6g,1.6g,4.1g,4%,6%,1%,0%,"BUTTERMILK (cultured nonfat milk, contains less than 1% of: food starch - modified (corn), locust bean gum, carrageenan, salt, sodium citrate, vitamin a palmitate, vitamin d3. contains: milk.), MULTIGRAIN PANCAKE MIX (enriched wheat flour (wheat flour, niacin, ferrous sulfate, thiamin  mononitrate, riboflavin, folic acid), buckwheat flour, sugar, wheat  bran, yellow corn flour, leavening (baking soda, monocalcium phosphate),  rice flour, soybean oil, whole oat flour, contains 2% or less of  natural and artificial flavor (dextrose, maltodextrin, starch, silicon  dioxide), salt, buttermilk solids, malt powder (corn syrup, barley malt  extract, silicone dioxide)), VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",breakfast
7,Sausage Gravy,3 OZL,122,75,8.3g,2.5g,0.8g,13.5mg,446.3mg,5g,6.5g,0g,3.3g,9%,1%,6%,0%,"SKIM MILK (fat free milk, vitamin a palmitate, vitamin d3.), HOT SAUSAGE (pork, water, contains 2% or less of the following:  salt, spices,  sugar, corn syrup, monosodium glutamate.), SEASONED FLOUR (wheat flour, salt, pepper and other spices, dextrose, monosodium glutamate,  disodium inosinate, disodium guanylate.), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), BLACK PEPPER, SALT (salt, calcium silicate, dextrose, potassium iodide.)",breakfast
8,Sausage Patties,2 PATTIES,400,325,36g,12g,0g,66mg,740mg,14g,4g,0g,0g,0%,8%,4%,0%,"PORK SAUSAGE (pork, water, salt, spices, and sugar.)",breakfast
9,Scrambled Eggs*,3 OZ,217,149,16.5g,4.3g,0g,423mg,172.6mg,14.3g,1.3g,0g,1.3g,6%,7%,16%,0%,"EGGS (whole eggs, citric acid, .15% water added as a carrier for citric acid. citric acid added to preserve color.  contains: eggs ), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)",breakfast
10,Steamed Eggs*,2 EGG,176,109,12g,3.7g,- - - g,423mg,140.6mg,14.3g,1.3g,0g,1.3g,6%,8%,12%,0%,FRESH EGGS,breakfast
11,Tater Tots**,4 OZ,208,86,9.6g,1.6g,0g,0mg,495.1mg,3.2g,25.6g,3.2g,0g,0%,0%,0%,10%,"TATER TOTS (potatoes, vegetable oil (contains one or more of the following oils: canola, soybean, cottonseed, sunflower, corn). contains 2% or less of dextrose, natural flavor, salt, sodium acid pyrophosphate added to maintain natural color.)",breakfast
12,Turkey Bacon,2 SLICES,88,68,7.6g,2.5g,0g,37.8mg,453.6mg,5g,0g,0g,0g,0%,0%,0%,15%,"TURKEY BACON (turkey, water, salt, sugar, contains less than 2% of sodium lactate, canola oil, sodium diacetate, sodium phosphates, smoke flavor, sodium ascorbate, autolyzed yeast extract, sodium nitrite, dextrose, soy lecithin. contains: soy.)",breakfast
13,Applesauce Raisin Bread,1/22 SLICE,10,3,0.4g,0.1g,0g,1.4mg,8.8mg,0.1g,1.5g,0.1g,0.8g,0%,0%,0%,0%,"Applesauce Raisin Bread (ULTRAGRAIN FLOUR BLEND (wheat flour, whole wheat flour, niacin, reduced iron, thiamine  mononitrate, riboflavin, folic acid), APPLESAUCE (apples, high fructose corn syrup, corn syrup and water, ascorbic  acid (vitamin c) added to maintain color), SUGAR (sugar), WATER, RAISINS, EGG MIX (whole eggs, egg yolks, dextrin, salt, cellulose gum, propylene glycol.), TRANSFAT FREE SHORTENING (palm oil), PAN GREASE (soy oil, corn flour, vegetable shortening (partially hydrogenated  soybean, cotttonseed, and or canola oil), mono-diglycerides. contains 2%  or less of: soya lecithin, bht (an antioxidant) ), BAKING POWDER (baking soda (for leavening), cornstarch, sodium aluminum sulfate (for leavening), calcium sulfate, monocalcium phosphate (for leavening). ), BAKING SODA (sodium bicarbonate), CINNAMON, SALT (salt, sodium silicoaluminate. ))",breakfast
14,Biscuits*,1 BISCUIT,270,108,12g,6g,0g,0mg,839.9mg,6g,35g,1g,3g,2%,10%,0%,0%,"BISCUIT DOUGH (enriched flour bleached (wheat flour, niacin, ferrous sulfate, thiamin  mononitrate, riboflavin, folic acid), water, soybean oil, hydrogenated  soybean oil*, buttermilk, sugar, baking soda, salt, sodium aluminum  phosphate, sodium caseinate, datem, partially hydrogenated soybean and  cottonseed oil*, nonfat milk, whey protein concentrate, sodium acid  pyrophosphate, whey, wheat protein isolate, cream, natural flavor. *adds  a negligible amount of trans fat.  contains wheat and milk ingredients.)",breakfast
15,Donuts*,1 DOUGHNUT,352,127,14.1g,6g,0.8g,0.1mg,363mg,4.3g,51.7g,1g,25.6g,1%,10%,3%,6%,"Donuts* (Yeast Donut Dough (DONUT MIX (enriched flour (wheat flour, malted barley flour, niacin, iron, thiamin  mononitrate, riboflavin, folic acid), partially hydrogenated  soybean and cottonseed oil, dextrose, whey, salt, mono and diglyercides, defatted soy flour, leavening (baking soda, sodium acid pyrophosphate), sodium stearoyl lactylate, color added, azodicarbonamide, egg.  contains: wheat, milk, soy and egg ingredients), WATER, Shortening (interesterified soybean oil ), YEAST (instant yeast. )), Donut Glaze* (CONFECTIONERS SUGAR (sugar, cornstarch), DONUT GLAZE (sugar, water, honey, pectin, agar, sorbic acid, sodium benzoate.), WATER), VANILLA CREAM (modified cornstarch, cornstarch, sugar, salt, titanium dioxide, sodium  propionate, sodium hexametaphosphate, carboxymethylcellulose, artificial flavor, color (contains tartrazine)), RASPBERRY FILLING (water, sugar, raspberry puree, modified food starch, dextrose.  contains 2% or less of the following: citric acid, tapioca dextrin, salt, preservatives (potassium sorbate, sodium propionate, sodium benzoate), algin, sodium carboxymethylcellulose, carrageenan, red 40, artificial flavor. ), BLUEBERRY FILLING (water, high fructose corn syrup, blueberry puree, corn syrup, modified food starch. contains 2% or less of the following: propylene glycol, citric acid, preservatives (potassium sorbate, sodium benzoate), salt, red 40, blue 1, artificial flavor. ))",breakfast
16,Breakfast Quinoa w/ Raisins GF*,4 OZ,285,29,3.2g,0g,0g,0mg,1.7mg,8g,55.5g,4.5g,16.1g,4%,14%,0%,1%,"WATER, QUINOA (quinoa. ), RAISINS, HONEY (honey. ), BROWN SUGAR (brown sugar (cane sugar, cane syrups)), CINNAMON",breakfast
