food_id,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,meal,location,allergen,tag,ingredient
30001.0,Baked Potato Soup,8 OZ,153.0,73,8.1g,3.2g,0g,13.5mg,702mg,5.4g,14.4g,0.9g,0.9g,7%,2%,0%,0%,breakfast & lunch & dinner,Deets,"Milk, Wheat, Soybeans, Gluten","chicken, cheese, cream, onion, milk, soy, pork, wheat, beef, ","WATER, LOADED BAKED POTATO SOUP (chicken stock, potatoes, roasted yukon gold potatoes, process cheddar cheese (cheddar cheese [milk, cultures, salt, enzymes], water, enzyme modified cheese [milk, water, milkfat, sodium phosphate, cultures, salt, enzymes, vitamin a palmitate], sodium phosphate, salt, milkfat, apocarotenal for color), onions, modified food starch, bacon bits (bacon [cured with water, salt, sugar, smoke flavor, sodium phosphate, sodium erythorbate, sodium nitrite]), vegetable oil (corn, cottonseed, and/or canola), butter (cream [milk], water), contains less than 2% of: scallions, salt, onion juice, natural flavoring (milk), garlic, cultured cream [milk], soy protein concentrate, spice, mixed triglycerides, flavoring, pork, citric acid, wheat starch, beef extract, smoke flavoring, disodium phosphate, yellow 5, soy lecithin, yellow 6.)"
30002.0,Chicken Noodle Soup,8 OZ,69.0,18,2g,0.5g,0g,14.9mg,783.8mg,4g,9.9g,0g,1g,2%,2%,2%,15%,breakfast & lunch & dinner,Deets,"Eggs, Wheat, Soybeans, Gluten","chicken, egg, wheat, ","WATER, CHICKEN NOODLE SOUP (chicken stock, water, enriched egg noodle product (wheat flour, eggs, egg whites, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), carrots, celery, chicken meat, contains less than 2% of: salt, onions, modified food starch, chicken fat, yeast extract, gelatin, chicken flavor (contains ascorbic acid, salt), sugar, carrageenan, potato starch, vegetable oil, spice, turmeric extract, flavoring, beta carotene for color.)"
30004.0,Deets Signature Turkey Bagel,1 BAGEL,214.0,145,16.1g,7.1g,0g,65.7mg,1467.7mg,29.4g,67g,3g,9.2g,38%,9%,44%,14%,breakfast & lunch & dinner,Deets,"Milk, Wheat, Soybeans, Gluten","cheese, wheat, milk, turkey, ","ASIAGO CHEESE BAGEL (flour (wheat flour, malted barley flour), water, shredded asiago fresh cheese (cultured milk, enzymes, salt, cellulose), sugar, contains less than 2% of each of the following: salt, yeast extract, degerminated yellow corn meal, cultured wheat flour, yeast, guar & xanthan gum blend, inactive dry yeast, soybean oil, ascorbic acid added as a dough conditioner, enzymes, potato starch), SMOKED TURKEY BREAST (turkey breast, turkey broth, salt, dextrose, modified food starch, carrageenan, sodium phosphate, sodium erythorbate, sodium nitrate. ), FRESH CUCUMBERS, FRESH TOMATOES, HAVARTI CHEESE WITH DILL (cultured pasteurized milk, enzymes, salt, dill, annatto coloring), GREEN LEAF LETTUCE, PARMESAN CHEESE (pasteurized part-skim milk, cheese cultures, salt, enzymes and powdered  cellulose (anti-caking agent).  contains: milk. ), FRESH SPINACH"
30005.0,"Panini, Mozzarella*",1 SANDWICH,656.0,314,34.8g,12.1g,0g,65.1mg,1736.7mg,32g,54.1g,4g,8.5g,80%,6%,41%,40%,breakfast & lunch & dinner,Deets,"Milk, Eggs, Wheat, Soybeans, Gluten","egg, pepper, cheese, milk, cream, wheat, gluten, soy, ","Coleslaw (Cole Slaw* (FRESH CABBAGE, MAYONNAISE (soybean oil, egg yolk, water, high fructose corn syrup, vinegar,  contains less than 2% of salt, spice, calcium disodium edta to protect  flavor.), FRESH CARROTS, SUGAR, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), BLACK PEPPER, CELERY SEED)), Mozzarella Panini (MOZZARELLA CHEESE (cultured pasteurized milk, cream, sea salt and rennet ), CIABATTA BUN (enriched unbleached flour (wheat flour, malted barley flour, niacin, iron  as ferrous sulfate, thiamine mononitrate, riboflavin, folic acid),  water, potato flour, soybean oil, contains less  than 2% or less each of the following: salt, yeast, wheat gluten, to preserve freshness (calcium propionate), ascorbic acid, corn flour, acetic acid, lactic acid, canola oil, enzymes may contain: milk, soy), FRESH TOMATOES, PESTO SAUCE (basil, canola oil, water, parmesan cheese (pasteurized part-skim cows'  milk, cheese culture, salt, enzymes), granulated garlic, salt. allergen alert: contains milk )), PICKLES (fresh cucumbers, water, salt, vinegar, lactic acid, sodium benzoate  (preservative), natural flavors, polysorbate 80, tumeric (color) ), HOMESTYLE POTATO CHIPS (potatoes, vegetable oil (may contain one or more of the following: canola oil, sunflower oil, cottonseed oil, palm oil, corn oil, soybean oil, hydrogenated soybean and/or cottonseed oil), salt, disodium dihydrogen pyrophosphate (to promote color retention), dextrose.)"
30006.0,"Panini, Southwest Chicken",1 SANDWICH,709.0,350,38.8g,10.5g,0g,107.1mg,1794.4mg,36.5g,52.7g,2.7g,7.9g,24%,6%,33%,49%,breakfast & lunch & dinner,Deets,"Milk, Eggs, Wheat, Soybeans, Gluten","egg, pepper, chicken, onion, soy, wheat, gluten, milk, cheese, ","Coleslaw (Cole Slaw* (FRESH CABBAGE, MAYONNAISE (soybean oil, egg yolk, water, high fructose corn syrup, vinegar,  contains less than 2% of salt, spice, calcium disodium edta to protect  flavor.), FRESH CARROTS, SUGAR, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), BLACK PEPPER, CELERY SEED)), Southwest Chicken Panini (CHICKEN BREAST (boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock,  vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium  phosphates, soy protein concentrate, sea salt.), CIABATTA BUN (enriched unbleached flour (wheat flour, malted barley flour, niacin, iron  as ferrous sulfate, thiamine mononitrate, riboflavin, folic acid),  water, potato flour, soybean oil, contains less  than 2% or less each of the following: salt, yeast, wheat gluten, to preserve freshness (calcium propionate), ascorbic acid, corn flour, acetic acid, lactic acid, canola oil, enzymes may contain: milk, soy), RED PEPPERS (bell peppers, water, salt, and citric acid.), CHIPOTLE MAYONNAISE (vegetable oil (soybean, canola), vinegar, chipotle pepper (red jalapeno  peppers, vinegar, sugar, salt, onions), egg yolk, water, corn syrup,  salt, lime juice, spice, natural garlic flavor, onion, garlic, natural  smoke flavor, xanthan gum, jalapeno pepper, red bell pepper,  maltodextrin, sugar, natural flavor, calcium disodium edta as a  preservative.), JALAPENO CHEESE (pasteurized milk, jalapeno peppers, cheese culture, salt, enzymes)), PICKLES (fresh cucumbers, water, salt, vinegar, lactic acid, sodium benzoate  (preservative), natural flavors, polysorbate 80, tumeric (color) ), HOMESTYLE POTATO CHIPS (potatoes, vegetable oil (may contain one or more of the following: canola oil, sunflower oil, cottonseed oil, palm oil, corn oil, soybean oil, hydrogenated soybean and/or cottonseed oil), salt, disodium dihydrogen pyrophosphate (to promote color retention), dextrose.)"
30007.0,Veggie Bagel Sandwich**,1 BAGEL,185.0,10,1.1g,0g,0g,0mg,363.1mg,5.9g,37.5g,1.9g,7.4g,3%,8%,35%,39%,breakfast & lunch & dinner,Deets,"Wheat, Soybeans, Gluten","wheat, soy, onion, ","SESAME BAGEL (flour (wheat flour, malted barley flour), water, sugar, contains less  than 2% of each of the following: salt, sesame seeds, degerminated  yellow corn meal, yeast, guar & xanthan gum blend, inactive dry yeast,  soybean oil, ascorbic acid added as a dough conditioner, enzymes contains: wheat, soy), FRESH CUCUMBERS, RED PEPPERS (bell peppers, water, salt, and citric acid.), FRESH RED ONION, FRESH RED CABBAGE, FRESH SPINACH, OREGANO, BASIL, PARSLEY FLAKES (parsley flakes. )"
30008.0,"Wrap, Meditteranean**",1 WRAP,659.0,259,28.7g,5.4g,0g,0mg,1245.1mg,16.9g,85.8g,13.6g,5g,25%,24%,77%,23%,breakfast & lunch & dinner,Deets,"Wheat, Soybeans, Gluten","wheat, pepper, soy, ","Tabouleh** (COUSCOUS (wheat flour  contains: wheat ), WATER, FRESH TOMATOES, FRESH CUCUMBER, CARROTS, LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), FRESH GREEN ONIONS, SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), PARSLEY, SALT (salt, calcium silicate, dextrose, potassium iodide.), FRESH GARLIC, BLACK PEPPER), Hummus** (GARBANZO BEANS (cooked dried chick peas, water, salt, and disodium edta (to preserve color)), TAHINI (pure ground sesame seeds), LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), OLIVE OIL, FRESH GARLIC, PARSLEY, KOSHER SALT (salt, yellow prussiate of soda), PEPPER SAUCE (vinegar, aged peppers (peppers, salt, vinegar), water, xanthan gum and benzoate of soda (to preserve freshness and flavor))), WHOLE WHEAT TORTILLA (whole wheat flour, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin and folic acid), water, vegetable shortening (contains one or more of the following: palm oil or corn oil), contains 2% or  less of the following: salt, aluminum free leavening (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), wheat protein, preservatives (calcium propionate, sorbic acid), dough conditioner (lecithin, fumaric acid, gum blend, mono and diglycerides, sodium metabisulphite)  allergens: wheat and soy ), GREEN LEAF LETTUCE"
30009.0,"Wrap, South American Chicken",1 WRAP,707.0,186,20.6g,7.3g,0g,161.5mg,1827.9mg,65.1g,61.8g,4.8g,9.7g,17%,27%,31%,43%,breakfast & lunch & dinner,Deets,"Milk, Wheat, Soybeans, Gluten","chicken, onion, pepper, wheat, cheese, milk, ","Marinated Grilled Chicken (CHICKEN BREAST (Halal certified chicken), FAT FREE ITALIAN DRESSING (water, vinegar, sugar, salt, maltodextrin, contains less than 2% of: cellulose gel, cellulose gum and xanthan gum, onion, garlic, potassium sorbate and sodium benzoate as preservatives, carrageenan, citric acid, red bell peppers, spice, yeast extract, natural flavor, yellow #5 and #6, sunflower oil. ), LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), SOUTHWESTERN SEASONING (spices, onion, dextrose, salt, garlic, yellow corn flour, red bell pepper, silicon dioxide (added to make free flowing), red pepper, citric acid, jalapeĂąo pepper, extractives of paprika, and natural and artificial flavor.)), SPINACH TORTILLA (enriched blend flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, vegetable shortening (partially hydrogenated soybean and/or cottonseed oils or palm oil or corn oil), spinach seasoning (vegetable purees and extractives (garlic, basil, bell pepper and anise), natural and artificial flavors). contains 2% or less of the following: baking powder, salt, distilled mono and diglycerides, calcium propionate, sorbic acid, gum blend, furmaric acid, sugar, dough relaxer (sodium metabisulfate, corn starch, microcrystalline cellulose, dicalcium phosphate)), Cabbage Topping for Fish Taco (FRESH GREEN CABBAGE, CARROTS, FRESH RED CABBAGE, CILANTRO), Pico de Gallo** (FRESH TOMATOES, TOMATILLOS, FRESH ONIONS, LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), FRESH GARLIC, JALAPENO PEPPERS (fresh peppers, water, vinegar, salt, calcium chloride, sodium benzoate (preservative), natural flavors, yellow 5, sodium metabisulfite. ), CILANTRO, GARLIC SALT (salt, garlic, calcium silicate (added to make free flowing), and garlic oil.), BLACK PEPPER, SALT (salt, calcium silicate, dextrose, potassium iodide.)), JALAPENO CHEESE (pasteurized milk, jalapeno peppers, cheese culture, salt, enzymes), LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SUGAR"
30010.0,Edamame Bowl**,4 OZ,151.0,41,4.5g,0g,0g,0mg,45.4mg,12.1g,13.6g,6g,1.5g,8%,14%,14%,14%,breakfast & lunch & dinner,Deets,Soybeans,None,EDAMAME PODS
30011.0,Veggie Bistro Box*,1 BOX,449.0,48,5.4g,3.5g,0g,0mg,414.3mg,10.4g,90.7g,11.7g,41.4g,15%,17%,258%,74%,breakfast & lunch & dinner,Deets,"Milk, Eggs, Tree Nuts, Wheat, Soybeans, Gluten","wheat, gluten, tomato, milk, ","WHOLE WHEAT PITA (stone ground whole wheat flour, enriched wheat flour, [contains niacin, reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid], water, wheat, gluten, yeast, contains less than 2% of each of the following: sugar, salt calcium propionate (added to maintain freshness)  contains: wheat  processed on equipment that also processes soybean ), FRESH CARROTS, SNOW PEAS, FRESH CHERRY TOMATO, CRAISINS (cranberries, sugar, citric acid, elderberry juice concentrate, sunflower oil), FRESH ZUCCHINI, TZATZIKI DRESSING (water, partially hydrogenated coconut oil, cucumbers, nonfat dry milk,  less than 1% of garlic (garlic, water, sodium benzoate [a  preservative]), phosphoric acid (an acidifying agent), salt, stabilizer  (locust bean gum, guar gum, sodium citrate, carrageenan, magnesium  oxide, disodium phosphate, standardized with sugar), xanthan gum, sugar,  potassium sorbate (a preservative), artificial flavor, culture, annatto   color (refined soybean oil, annatto extract).)"
