food_id,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,meal,location,allergen,tag,ingredient
70002.0,Biscuits*,1 BISCUIT,270.0,108,12g,6g,0g,0mg,839.9mg,6g,35g,1g,3g,2%,10%,0%,0%,breakfast,Turner,"Milk, Wheat, Soybeans, Gluten","wheat, milk, cream, ","BISCUIT DOUGH (enriched flour bleached (wheat flour, niacin, ferrous sulfate, thiamin  mononitrate, riboflavin, folic acid), water, soybean oil, hydrogenated  soybean oil*, buttermilk, sugar, baking soda, salt, sodium aluminum  phosphate, sodium caseinate, datem, partially hydrogenated soybean and  cottonseed oil*, nonfat milk, whey protein concentrate, sodium acid  pyrophosphate, whey, wheat protein isolate, cream, natural flavor. *adds  a negligible amount of trans fat.  contains wheat and milk ingredients.)"
70003.0,Cinnamon Raisin French Toast*,2 SLICE,655.0,335,37.1g,13.6g,0.5g,307.2mg,432mg,16g,60.5g,1.4g,15.3g,5%,19%,32%,0%,breakfast,Turner,"Milk, Eggs, Wheat, Soybeans, Gluten","gluten, wheat, cream, milk, egg, soy, ","Sourdough Brioche* (Sourdough Pate Fermentee (HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), Sourdough Starter (WATER, HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.)), WATER), WATER, HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), UNSALTED BUTTER (pasteurized cream, natural flavorings contains: milk), FRESH EGGS, SUGAR (sugar), HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), SALT (salt, calcium silicate, dextrose, potassium iodide.)), EGG MIX (whole eggs, citric acid (to maintain color), 0.15% water as citric acid carrier), PANCAKE SYRUP (corn syrup, water, high fructose corn syrup,  salt, natural and artificial flavors, potassium sorbate, sodium benzoate and benzoic acid (preservatives), caramel color, cellulose gum), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.), CREAM (heavy cream, milk, contains less than 0.5% of mono and diglycerides, polysorbate 80, carrageenan. contains: milk), VANILLA EXTRACT (vanilla bean extracts in water, and alcohol (41%)), CINNAMON"
70004.0,Malted Waffles w/Butter Sub and Syrup*,1 WAFFLE,1141.0,537,59.5g,8g,0g,0mg,1454.1mg,5.9g,138.2g,1.2g,58.2g,35%,24%,59%,0%,breakfast,Turner,"Milk, Wheat, Soybeans, Gluten","wheat, milk, soy, ","WATER, WAFFLE MIX (enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, sodium bicarbonate, monocalcium phosphate, contains 2% or less of the following: natural and artificial flavors (dextrose, malodextrin, starch, silicon dioxide), salt, yellow corn flour, buttermilk, malted barley extract contains: wheat and milk), PANCAKE SYRUP (corn syrup, water, high fructose corn syrup,  salt, natural and artificial flavors, potassium sorbate, sodium benzoate and benzoic acid (preservatives), caramel color, cellulose gum), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)"
70005.0,Sausage Gravy,3 OZL,137.0,106,11.7g,3.3g,0.1g,12.9mg,98.4mg,3.8g,5.9g,0.1g,3.2g,8%,2%,3%,0%,breakfast,Turner,"Milk, Wheat, Soybeans, Gluten","milk, pork, soy, gluten, wheat, pepper, ","WHOLE MILK (milk, vitamin D3 added.), PORK SAUSAGE (pork, water, salt, spices, and sugar.), SOY OIL (soybean oil), HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), BLACK PEPPER, THYME LEAVES, SALT (salt, calcium silicate, dextrose, potassium iodide.)"
70006.0,Scrambled Eggs*,3 OZ,194.0,145,16g,3.7g,0g,300.8mg,153.3mg,10.1g,0.9g,0g,0.9g,4%,5%,16%,0%,breakfast,Turner,"Eggs, Soybeans","soy, ","EGGS (whole eggs, citric acid, .15% water added as a carrier for citric acid. citric acid added to preserve color.  contains: eggs ), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)"
70008.0,Steamed Eggs*,2 EGG,176.0,109,12g,3.7g,- - - g,423mg,140.6mg,14.3g,1.3g,0g,1.3g,6%,8%,12%,0%,breakfast,Turner,Eggs,None,FRESH EGGS
70009.0,Vidalia Potatoes*,3 OZ,138.0,76,8.4g,4.7g,0.2g,27.3mg,200mg,1.7g,14.7g,1.1g,1.5g,2%,1%,6%,14%,breakfast,Turner,"Milk, Soybeans","cream, milk, pepper, soy, ","POTATOES, CREAM (heavy cream, milk, contains less than 0.5% of mono and diglycerides, polysorbate 80, carrageenan. contains: milk), FRESH YELLOW ONIONS, SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), KOSHER SALT (salt, yellow prussiate of soda), FRESH GARLIC, WHITE PEPPER, VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)"
70010.0,Eggs & Potatoes w/ Bacon or Sausage & Fr. Tst or Biscuit,1 PLATE,2198.0,1316,145.9g,33.1g,1.1g,515.3mg,2387.1mg,39.2g,177.2g,1.4g,92.6g,26%,26%,120%,8%,breakfast,Turner,"Milk, Eggs, Wheat, Soybeans, Gluten","wheat, gluten, soy, milk, cream, pork, pepper, cheese, chicken, onion, beef, turkey, ","French Toast* (BREAD (unbleached enriched flour (wheat flour, malted barley flour, niacin,  reduced iron, thiamin mononitrate, riboflavin, folic acid),water, high  fructose corn syrup, contains 2% or less of each of the following:  yeast, salt, soybean oil, wheat gluten, dough conditioners (contains one or more of the following: sodium stearoyl lactylate, calcium stearoyl lactylate, monoglycerides  and/or diglycerides, calcium peroxide, calcium iodate, datem,  ethoxylated mono- and diglycerides, azodicarbonamide, enzymes), soy  flour, yeast food (ammonium sulfate), monocalcium phosphate, calcium  sulfate, soy lecithin, calcium propionate (to retard spoilage)), PANCAKE SYRUP (corn syrup, water, high fructose corn syrup,  salt, natural and artificial flavors, potassium sorbate, sodium benzoate and benzoic acid (preservatives), caramel color, cellulose gum), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.), WHOLE MILK (milk, vitamin D3 added.), CREAM (heavy cream, milk, contains less than 0.5% of mono and diglycerides, polysorbate 80, carrageenan. contains: milk), EGGS (whole eggs, citric acid, .15% water added as a carrier for citric acid. citric acid added to preserve color.  contains: eggs ), SUGAR, VANILLA EXTRACT (vanilla bean extracts in water, and alcohol (41%)), SALT (salt, calcium silicate, dextrose, potassium iodide.), CINNAMON), Sausage Gravy (WHOLE MILK (milk, vitamin D3 added.), PORK SAUSAGE (pork, water, salt, spices, and sugar.), SOY OIL (soybean oil), HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), BLACK PEPPER, THYME LEAVES, SALT (salt, calcium silicate, dextrose, potassium iodide.)), Hash Brown Casserole (SHREDDED POTATOES (potatoes, disodium dihydrogen pyrophosphate (to promote color retention), dextrose.), MONTEREY JACK & CHEDDAR CHEESE (cheddar cheese, (pasteurized milk, cheese culture, salt, enzymes, annatto [color]), monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor). contains: milk ), CREAM OF CHICKEN SOUP (chicken stock, vegetable oil, modified food starch, wheat flour, cream (milk), contains less than 2% of: salt, dehydrated mechanically separated chicken, soy protein concentrate, monosodium glutamate, chicken fat, water, yeast extract, flavoring, beta carotene for color, chicken flavor, celery extract, butter (cream[milk], annatto), onion extract. ), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), FRESH ONIONS, SALT (salt, calcium silicate, dextrose, potassium iodide.), BLACK PEPPER, VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)), Scrambled Eggs* (EGGS (whole eggs, citric acid, .15% water added as a carrier for citric acid. citric acid added to preserve color.  contains: eggs ), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)), PANCAKE SYRUP (corn syrup, water, high fructose corn syrup,  salt, natural and artificial flavors, potassium sorbate, sodium benzoate and benzoic acid (preservatives), caramel color, cellulose gum), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.), Steamed Eggs* (FRESH EGGS), Biscuits* (BISCUIT DOUGH (enriched flour bleached (wheat flour, niacin, ferrous sulfate, thiamin  mononitrate, riboflavin, folic acid), water, soybean oil, hydrogenated  soybean oil*, buttermilk, sugar, baking soda, salt, sodium aluminum  phosphate, sodium caseinate, datem, partially hydrogenated soybean and  cottonseed oil*, nonfat milk, whey protein concentrate, sodium acid  pyrophosphate, whey, wheat protein isolate, cream, natural flavor. *adds  a negligible amount of trans fat.  contains wheat and milk ingredients.)), Smoked Breakfast Sausage (SAUSAGE (meat ingredients (pork, beef), mechanically separated turkey, water, corn syrup, contains 2% or less: salt, potassium lactate, spice, natural flavor, yeast extract, pork stock, sodium diacetate, sodium erythorbate, sodium nitrite, isolated soy product, isolated soy protein. contains soy)), Bacon (BACON (bacon cured with water, salt, sugar, sodium phosphates, sodium  erythorbate, sodium nitrite.))"
70001.0,Dijon Roasted Brisket,4 OZ,421.0,305,33.8g,13.3g,- - - g,100.7mg,3113.7mg,25.2g,0g,0g,0g,1%,13%,0%,0%,lunch & dinner,Turner,,"beef, pepper, ","BEEF BRISKET, STEAK SEASONING (coarse salt, spices (including black pepper, and red pepper), garlic, sunflower oil, natural flavor, and extractives of paprika), DIJON MUSTARD (water, vinegar, mustard seed, salt, white wine, fruit pectin, citric  acid, tartaric acid, sugar, spices.)"
70002.0,Garlic Mashed Potatoes* w/ Mushroom Sauce,4 OZ,266.0,131,14.5g,8.4g,0.5g,41.3mg,701.3mg,3.9g,29.7g,3g,0.9g,2%,9%,9%,2%,lunch & dinner,Turner,"Milk, Wheat, Soybeans, Gluten","wheat, beef, soy, tomato, onion, milk, cream, pepper, ","Mushroom Sauce* (WATER, FRESH MUSHROOMS, FRESH YELLOW ONIONS, DEMI-GLAZE (modified corn starch, instantized bleached and enriched wheat flour (wheat flour, niacin, ferrous sulfate, thiamine, mononitrate, riboflavin, folic acid), beef fat, maltodextrin (corn, potato), salt, hydrolyzed soy protein, sugar, autolyzed yeast extract, caramel color, tomato powder, dehydrated beef stock, onion powder, gelatin, beef extract, natural flavor, carrot powder, xanthan gum, lard, spice, paprika (color), citric acid, disodium guanylate, disodium inosinate, bha & propyl gallate (used to protect quality)  contains: wheat, soy), ONION SOUP MIX (dehydrated onions, pOtato starch, salt, hydrolyzed vegetable protein (corn, soy), beef fat, maltodextrin, lactose, sugar, autolyzed yeast extract, hydrolyzed wheat protein, caramel color, natural flavor, onion juice concentrate, gum arabic, spice, bha and propyl gallate (used to protect quality), citric acid  contains: soy, milk, wheat, sulfites ), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil)), FRESH POTATO, CREAM (heavy cream, milk, contains less than 0.5% of mono and diglycerides, polysorbate 80, carrageenan. contains: milk), UNSALTED BUTTER (pasteurized cream, natural flavorings contains: milk), KOSHER SALT (salt, yellow prussiate of soda), GARLIC (garlic, water and citric acid. ), WHITE PEPPER"
